"";"Ubicac.técnica";"Equipo";"Tipo.de.equipo";"Equipo.superior";"Eq.padre";"Sistema";"Comp"
"247";"1004-SUP-TMAN-TA04";300000233;"V";"0";"300000233";"0";"0"
"248";"1003-SUP-ELIV-CAMI-CAM3035";300000234;"V";"0";"300000234";"0";"0"
"249";"1004-SUP-TMAN-TA04";300000235;"V";"0";"300000235";"0";"0"
"250";"1003-SUP-ELIV-CAMO-CAN3003";300000236;"V";"0";"300000236";"0";"0"
"251";"8001-PL1-SAUP-VEHI-MOT0001";300000237;"V";"0";"300000237";"0";"0"
"252";"1004-SUP-EAUS-MONT-MON0003";300000238;"V";"0";"300000238";"0";"0"
"253";"1003-SUP-ELIV-CAMO-CAN3004";300000239;"V";"0";"300000239";"0";"0"
"254";"1003-MI1-EACA-WARR-WAR2009";400000000;"T";"0";"400000000";"0";"0"
"255";"1003-MI1-EACA-WARR-WAR2005";400000001;"T";"0";"400000001";"0";"0"
"256";"1003-MI1-EACA-WARR-WAR2011";400000002;"T";"0";"400000002";"0";"0"
"257";"1003-MI1-EACA-WARR-WAR2001";400000003;"T";"0";"400000003";"0";"0"
"258";"1003-MI1-EACA-WARR-WAR2002";400000004;"T";"0";"400000004";"0";"0"
"259";"1003-MI1-EACA-WARR-WAR2035";400000005;"T";"0";"400000005";"0";"0"
"260";"1003-MI1-EACA-WARR-WAR2032";400000006;"T";"0";"400000006";"0";"0"
"261";"1003-MI1-EACA-WARR-WAR2006";400000007;"T";"0";"400000007";"0";"0"
"262";"1003-MI1-EACA-WARR-WAR2031";400000008;"T";"0";"400000008";"0";"0"
"263";"1003-MI1-EACA-WARR-WAR2013";400000009;"T";"0";"400000009";"0";"0"
"264";"1003-MI1-EACA-WARR-WAR2033";400000010;"T";"0";"400000010";"0";"0"
"265";"1003-MI1-EACA-WARR-WAR2010";400000011;"T";"0";"400000011";"0";"0"
"266";"1003-MI1-EACA-WARR-WAR2015";400000012;"T";"0";"400000012";"0";"0"
"267";"1003-MI1-EACA-WARR-WAR2018";400000013;"T";"0";"400000013";"0";"0"
"268";"1003-MI1-EACA-WARR-WAR2019";400000014;"T";"0";"400000014";"0";"0"
"269";"1003-MI1-EACA-WARR-WAR2024";400000015;"T";"0";"400000015";"0";"0"
"270";"1003-MI1-EACA-WARR-WAR2037";400000016;"T";"0";"400000016";"0";"0"
"271";"1003-MI1-EACA-WARR-WAR2034";400000017;"T";"0";"400000017";"0";"0"
"272";"1003-MI1-EACA-WARR-WAR2021";400000018;"T";"0";"400000018";"0";"0"
"273";"1003-MI1-EACA-WARR-WAR2022";400000019;"T";"0";"400000019";"0";"0"
